Pickup_Date,trip_distance_km,duration_seconds,avg_speed,pickup_hour,Minimum Temperature,Maximum Temperature,Temperature,tip_amount,PULocationID
2017-06-03,4.79584512,1157,14.922249292999135,14,14.33,24.94,19.28,3.16,144
2017-06-03,1.2713817600000001,291,15.7284341443299,0,14.33,24.94,19.28,2.04,48
2017-06-03,17.07513984,2169,28.34048106224066,0,14.33,24.94,19.28,9.2,74
2017-06-03,7.8053184,845,33.25342750295858,2,14.33,24.94,19.28,3.46,234
2017-06-03,1.7702784000000003,554,11.50361415162455,12,14.33,24.94,19.28,1.0,162
2017-06-03,1.2874752000000003,1772,2.6156381038374725,18,14.33,24.94,19.28,3.65,161
2017-06-03,3.3796224000000006,775,15.6988911483871,23,14.33,24.94,19.28,3.35,211
2017-06-03,31.543142400000004,3163,35.90114215618085,11,14.33,24.94,19.28,7.92,132
2017-06-03,2.3335488,521,16.12432952015355,7,14.33,24.94,19.28,2.2,233
2017-06-03,2.75197824,708,13.993109694915255,9,14.33,24.94,19.28,2.06,140
2017-06-03,3.9107059200000007,858,16.408556307692315,19,14.33,24.94,19.28,1.23,151
2017-06-03,1.7702784000000003,553,11.524416347197109,19,14.33,24.94,19.28,1.65,239
2017-06-03,0.804672,143,20.257476923076926,20,14.33,24.94,19.28,1.06,50
2017-06-04,2.12433408,474,16.134182886075948,17,15.0,20.61,17.89,1.66,170
2017-06-04,4.184294400000001,1871,8.051020758952433,15,15.0,20.61,17.89,4.05,158
2017-06-04,5.19818112,791,23.657967170670037,0,15.0,20.61,17.89,2.86,189
2017-06-04,2.4301094400000003,552,15.848539826086958,19,15.0,20.61,17.89,1.86,236
2017-06-04,2.0921472000000003,373,20.1923054155496,2,15.0,20.61,17.89,1.0,211
2017-06-04,4.6831910400000005,561,30.052562823529417,9,15.0,20.61,17.89,2.36,158
2017-06-04,13.0356864,2843,16.506672894829403,16,15.0,20.61,17.89,7.0,138
2017-06-04,6.5983104,627,37.88503578947368,20,15.0,20.61,17.89,2.0,263
2017-06-04,2.28526848,458,17.96280901310044,18,15.0,20.61,17.89,1.0,142
2017-06-04,0.9656064,520,6.684967384615384,19,15.0,20.61,17.89,1.55,234
2017-06-04,1.7702784000000003,1004,6.347611792828686,13,15.0,20.61,17.89,2.95,186
2017-06-04,5.5361433600000005,729,27.33897955555556,22,15.0,20.61,17.89,2.86,234
2017-06-04,3.218688,441,26.275004081632655,0,15.0,20.61,17.89,1.4,163
2017-06-04,1.609344,434,13.349397235023043,15,15.0,20.61,17.89,1.46,262
2017-06-04,4.77975168,573,30.029853486910994,0,15.0,20.61,17.89,2.36,50
2017-06-04,4.618817280000001,595,27.94578522352942,9,15.0,20.61,17.89,2.26,166
2017-06-04,2.5749504000000005,716,12.946677988826819,14,15.0,20.61,17.89,1.5,158
2017-06-04,1.6415308800000001,349,16.932696756446994,2,15.0,20.61,17.89,13.0,239
2017-06-04,3.6210240000000002,401,32.50794613466334,8,15.0,20.61,17.89,0.93,246
2017-06-04,0.804672,254,11.404800000000002,1,15.0,20.61,17.89,2.0,151
2017-06-04,1.4966899200000001,504,10.690642285714288,10,15.0,20.61,17.89,1.95,162
2017-06-04,5.9384793600000005,1352,15.81251900591716,14,15.0,20.61,17.89,3.56,231
2017-06-04,2.3657356800000002,691,12.32510629232996,16,15.0,20.61,17.89,1.96,68
2017-06-04,6.1155072,1290,17.066531720930232,16,15.0,20.61,17.89,0.01,231
2017-06-04,3.9428928000000005,1310,10.835430595419847,15,15.0,20.61,17.89,2.0,142
2017-06-04,2.8968192000000004,1668,6.252127769784174,16,15.0,20.61,17.89,3.55,164
2017-06-04,1.14263424,948,4.339117367088608,18,15.0,20.61,17.89,1.7,113
2017-06-04,1.2874752000000003,186,24.91887483870968,20,15.0,20.61,17.89,0.87,236
2017-06-04,2.7680716800000003,424,23.50249539622642,23,15.0,20.61,17.89,1.0,137
2017-06-04,5.4717696,1211,16.266201948802646,1,15.0,20.61,17.89,3.55,114
2017-06-04,12.40804224,1949,22.91890819086711,19,15.0,20.61,17.89,6.95,170
2017-06-04,1.54497024,408,13.632090352941177,15,15.0,20.61,17.89,1.36,90
2017-06-04,2.31745536,513,16.262844631578947,10,15.0,20.61,17.89,1.2,262
2017-06-04,0.6276441600000001,224,10.087138285714287,12,15.0,20.61,17.89,1.06,238
2017-06-04,1.609344,422,13.7290009478673,13,15.0,20.61,17.89,1.55,237
2017-06-04,1.1265408,272,14.91009882352941,20,15.0,20.61,17.89,1.11,170
2017-06-04,4.7314713600000005,1477,11.532360796208533,12,15.0,20.61,17.89,5.19,24
2017-06-04,3.7014912,609,21.880736157635468,2,15.0,20.61,17.89,2.25,163
2017-06-04,0.6437376000000001,251,9.232889880478089,2,15.0,20.61,17.89,1.0,148
2017-06-04,2.7680716800000003,691,14.42121280463097,18,15.0,20.61,17.89,1.96,249
2017-06-04,8.09500032,1362,21.396476616740088,0,15.0,20.61,17.89,1.0,142
2017-06-04,2.7358848,356,27.666250786516855,2,15.0,20.61,17.89,1.65,113
2017-06-04,24.268907520000003,1962,44.530105541284414,9,15.0,20.61,17.89,10.11,138
2017-06-04,2.2530816,549,14.774305573770489,21,15.0,20.61,17.89,1.85,238
2017-06-04,2.1565209600000004,1219,6.368724738310092,15,15.0,20.61,17.89,2.76,233
2017-06-04,13.100060160000002,1333,35.379007183795956,20,15.0,20.61,17.89,3.0,138
2017-06-04,2.414016,602,14.435976079734221,14,15.0,20.61,17.89,2.75,161
2017-06-04,4.63491072,1171,14.249085048676342,10,15.0,20.61,17.89,1.5,229
2017-06-04,0.6437376000000001,194,11.94564618556701,18,15.0,20.61,17.89,0.95,162
2017-06-04,0.9656064,227,15.313581674008812,6,15.0,20.61,17.89,1.3,255
2017-06-04,0.9656064,153,22.720150588235295,10,15.0,20.61,17.89,0.95,230
2017-06-04,18.52354944,998,66.81841481362724,22,15.0,20.61,17.89,8.2,132
2017-06-04,4.15210752,972,15.378176000000002,19,15.0,20.61,17.89,2.66,161
2017-06-04,1.59325056,252,22.760722285714287,23,15.0,20.61,17.89,1.7,234
2017-06-04,1.2874752000000003,242,19.152523636363643,2,15.0,20.61,17.89,1.26,163
2017-06-05,5.214274560000001,869,21.60113741772152,18,14.72,20.0,17.61,3.06,144
2017-06-05,4.65100416,918,18.239232,10,14.72,20.0,17.61,2.76,33
2017-06-05,4.715377920000001,641,26.482621703588148,20,14.72,20.0,17.61,2.0,162
2017-06-05,29.080846080000004,2459,42.574642492069955,14,14.72,20.0,17.61,14.64,75
2017-06-05,3.218688,1020,11.36007529411765,8,14.72,20.0,17.61,2.65,236
2017-06-05,4.216481280000001,327,46.419977394495426,19,14.72,20.0,17.61,2.82,233
2017-06-05,1.35184896,125,38.933250048000005,7,14.72,20.0,17.61,0.5,234
2017-06-05,5.77754496,810,25.677977600000002,2,14.72,20.0,17.61,0.02,144
2017-06-05,1.4484096000000002,249,20.94086168674699,11,14.72,20.0,17.61,1.26,161
2017-06-05,13.1966208,1241,38.28189756647865,0,14.72,20.0,17.61,2.0,138
2017-06-05,6.3890956800000005,834,27.578830273381296,19,14.72,20.0,17.61,3.16,186
2017-06-05,2.5749504000000005,943,9.830139384941678,13,14.72,20.0,17.61,3.5,90
